id,triggerDesc,actionDesc,deviceCategory
GWZGSeaB,WHEN a selected member arrives,", THEN set your aura to guardian scene",Light
GWjCJyiK,WHEN Aura detects motion when set to Night scene,", THEN set your aura to away scene",Light
GWyzVacs,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to away scene",Light
GXGBpgSF,WHEN the scene is changed to the selected scene,", THEN set your aura to away scene",Light
GXLdxc7M,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to guardian scene",Light
GXSB2JMz,WHEN only on specific days of the week at the time you provide,", THEN turn your lights off",Light
GXShMZyn,WHEN a Motion Sensor becomes clear,", THEN turn off your hue lights",Light
GXUAqnzx,WHEN every time your WeMo Light Switch is turned on,", THEN turn a wemo insight switch on",Generic/Other
GXVa5LUt,WHEN the scene is changed to the selected scene,", THEN set your aura to away scene",Light
GXYqfF5a,WHEN every time you post a new tweet with a specific hashtag,", THEN toggle a wemo switch on or off",Generic/Other
GYpzGk4j,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to guardian scene",Light
GYqph5bQ,WHEN the scene is changed to the selected scene,", THEN set your aura to away scene",Light
GZ2chXub,WHEN every single day at a specific time set by you,", THEN turn on your hue lights",Light
GZ7FsDWw,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to guardian scene",Light
GZJV6hPM,WHEN the scene is changed to the selected scene,", THEN set your aura to guardian scene",Light
GZXJWsUv,WHEN a selected member leaves,", THEN set your aura to away scene",Light
Ga5tDK2T,WHEN every time you say 'Alexa trigger' + the phrase that you have defined,", THEN adjust multiple lights and shades together by activating a scene created in the lutron app",Light
GbJ6YkTG,WHEN the scene is changed to the selected scene,", THEN set your aura to away scene",Light
Gc4BwMaJ,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to guardian scene",Light
GcBDx3jp,WHEN Aura detects motion,", THEN set your aura to home scene",Light
GcnmySTk,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to guardian scene",Light
GdHn384B,WHEN Aura detects motion,", THEN set your aura to guardian scene",Light
GduHTYKF,WHEN every single day at a specific time set by you,", THEN turn on your hue lights",Light
GeUKx4p3,WHEN every time the temperature drops below a value you specify,", THEN turn your a/c off",Generic/Other
GecLPqv7,WHEN every time someone unlocks the door with Auto Unlock,", THEN turn on your hue lights",Light
Getkbm82,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to guardian scene",Light
GfCPb8DR,WHEN only on specific days of the week at the time you provide,", THEN change the color of your lights",Light
GfRYWuJb,WHEN every time your WeMo Switch is turned on,", THEN turn a wemo switch on THEN immediately back off",Generic/Other
GfpwZPKz,WHEN every time you enter an area you specify,", THEN set your honeywell thermostat to resume the currently defined thermostat programmed schedule",Thermostat/Heating
GfujXDZN,WHEN every time your alarm goes off,", THEN turn a wemo switch on",Generic/Other
GfwGRcxi,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to guardian scene",Light
Gg7LfNic,WHEN once a year on the date and time you specify,", THEN turn on a slow color loop effect for your hue lights",Light
Gh5w4UpD,WHEN every time you enter an area you specify,", THEN turn on your hue lights",Light
GhBwGrVR,WHEN the scene is changed to the selected scene,", THEN set your aura to guardian scene",Light
GiJLrxUB,WHEN the scene is changed to the selected scene,", THEN set your aura to away scene",Light
GiVvjSTa,WHEN the scene is changed to the selected scene,", THEN set your aura to away scene",Light
GikLHRXD,WHEN Aura detects motion when set to Night scene,", THEN set your aura to away scene",Light
GjZkieAC,WHEN the scene is changed to the selected scene,", THEN set your aura to away scene",Light
GjdsAVk9,WHEN every time you enter an area you specify,", THEN the action will set the temperature on the selected heatmiser thermostat",Thermostat/Heating
GkBysG5m,WHEN the scene is changed to the selected scene,", THEN set your aura to night scene",Light
GkSVhaGQ,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to home scene",Light
GkbCy96W,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to guardian scene",Light
GkgLSxMi,WHEN a selected member arrives,", THEN set your aura to guardian scene",Light
GkrbQMU3,WHEN every single day at a specific time set by you,", THEN turn off your hue lights",Light
GmgauMvV,WHEN Aura detects motion when set to Night scene,", THEN set your aura to away scene",Light
GmykDEUF,WHEN every time you say 'Alexa trigger' + the phrase that you have defined,", THEN set a scene on your hue lights",Light
Gn6pZ3di,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to guardian scene",Light
GpKmeuDY,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to guardian scene",Light
GqG2JxSM,WHEN a selected member arrives,", THEN set your aura to guardian scene",Light
Gqp6jfxA,WHEN every time your SmartThings device's presence is no longer detected,", THEN turn off your smartthings devices that support switching off",Generic/Other
Gqs73dL9,WHEN Aura detects motion when set to Night scene,", THEN set your aura to home scene",Light
GqwLcnia,WHEN the scene is changed to the selected scene,", THEN set your aura to away scene",Light
GrM9PQh3,WHEN a selected member leaves,", THEN set your aura to guardian scene",Light
GrV2GQE5,WHEN the scene is changed to the selected scene,", THEN set your aura to night scene",Light
GrdBf3Va,WHEN the scene is changed to the selected scene,", THEN set your aura to guardian scene",Light
GrsmDTtb,WHEN you say “Ok Google” to the Google Assistant followed by a phrase you choose,", THEN dim or brighten your hue lights to a value between 0-100",Light
GrztXLAV,WHEN the scene is changed to the selected scene,", THEN set your aura to guardian scene",Light
Gs6vZTwR,WHEN only on specific days of the week at the time you provide,", THEN change the color of your hue lights",Light
Gs7krYaJ,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to away scene",Light
GsFeYCSy,WHEN every time your WeMo Switch is turned on,", THEN turn a wemo switch off",Generic/Other
GsdcEmPL,WHEN Aura detects motion,", THEN set your aura to home scene",Light
GsjzdkJY,WHEN within 15 minutes of the sunset in your location,", THEN turn on one of your mi|home devices",Generic/Other
GswUkjbh,WHEN within 15 minutes of the sunrise in your location,", THEN turn your lights off",Light
GtYNVJB7,"WHEN a set number of minutes before the starting time of an event on your Calendar that contains a specific keyword or phrase in the event’s Title, Description, or Location",", THEN turn a wemo switch on",Generic/Other
GthNqnjM,WHEN a selected member leaves,", THEN set your aura to guardian scene",Light
Gu4AZJaS,WHEN you say “Ok Google” to the Google Assistant followed by a phrase you choose,", THEN dim or brighten your hue lights to a value between 0-100",Light
GuXiDAj6,WHEN every time you receive any new SMS on your Android device,", THEN briefly turn your hue lights off THEN back on",Light
Gusn256r,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to guardian scene",Light
Guv7qiND,WHEN Aura detects motion when set to Night scene,", THEN set your aura to home scene",Light
GuyZvxwQ,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to away scene",Light
Gv6fxNte,WHEN every single day at a specific time set by you,", THEN turn a wemo switch off",Generic/Other
GvJcTN9r,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to guardian scene",Light
GvM6c9a7,WHEN a selected member arrives,", THEN set your aura to guardian scene",Light
GvVbES5X,WHEN the scene is changed to the selected scene,", THEN set your aura to guardian scene",Light
GvdbUsD8,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to away scene",Light
GwSRJ8pK,WHEN at the hours where electricity in Norway is cheap,", THEN change the color of your hue lights",Light
GwzqQLuA,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to away scene",Light
GxTz74Sb,WHEN a selected member arrives,", THEN set your aura to guardian scene",Light
GxuRqky2,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to guardian scene",Light
GyAqBzrZ,WHEN a selected member arrives,", THEN set your aura to home scene",Light
GyW9wZHt,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to guardian scene",Light
GyvuE3tm,WHEN you say “Ok Google” to the Google Assistant followed by a phrase you choose,", THEN set a scene on your hue lights",Light
Gyw3eBPi,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to guardian scene",Light
Gz4EpiN2,WHEN every time your alarm goes off,", THEN turn a wemo switch on",Generic/Other
GzBZjrq9,WHEN a selected member arrives,", THEN set your aura to away scene",Light
GzdKHVCY,WHEN every time your alarm goes off,", THEN dim or brighten your hue lights to a value between 0-100",Light
GziwUmnv,WHEN the scene is changed to the selected scene,", THEN set your aura to away scene",Light
H2AWhbsf,WHEN a selected member arrives,", THEN set your aura to away scene",Light
H2fbzPrG,WHEN the scene is changed to the selected scene,", THEN set your aura to guardian scene",Light
H3D7qvhB,WHEN every time IFTTT receives a specific event from Apilio,", THEN activate standby mode on the selected heatmiser thermostat",Thermostat/Heating
H3HQLd5z,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to guardian scene",Light
H4vGxUmT,WHEN Aura detects motion,", THEN set your aura to guardian scene",Light
H5ADkUbm,WHEN the scene is changed to the selected scene,", THEN set your aura to away scene",Light
H5UwsBP8,WHEN every time your SmartThings device is switched on,", THEN turn on your smartthings devices that support switching on",Generic/Other
H5YNjr2c,WHEN a selected member arrives,", THEN set your aura to guardian scene",Light
H5i7JNXP,WHEN once a year on the date and time you specify,", THEN change the color of your lights",Light
H5tSEwWc,WHEN Aura detects motion,", THEN set your aura to away scene",Light
H5xSa9jb,WHEN the scene is changed to the selected scene,", THEN set your aura to away scene",Light
H6BDyuX5,WHEN every time you say 'Alexa trigger' + the phrase that you have defined,", THEN turn on a slow color loop effect for your hue lights",Light
H6TdkbcM,WHEN within 15 minutes of the sunset in your location,", THEN turn on your hue lights",Light
H6Y89Cis,WHEN every single day at a specific time set by you,", THEN turn off your hue lights",Light
H6aZevN3,WHEN every time your WeMo Motion sensor detects new motion,", THEN change your hue lights to a randomly selected color",Light
H7HmKVrE,WHEN every single day at a specific time set by you,", THEN turn off your hue lights",Light
H7KSmji6,WHEN a selected member arrives,", THEN set your aura to away scene",Light
H7d3vrkL,WHEN the scene is changed to the selected scene,", THEN set your aura to guardian scene",Light
H7pbvQuh,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to away scene",Light
H89EWdsX,WHEN you say “Ok Google” to the Google Assistant followed by a phrase you choose,", THEN turn on the device/group of your choosing",Generic/Other
H8LdE9sq,WHEN a selected member arrives,", THEN set your aura to guardian scene",Light
H8Pe9SR2,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to away scene",Light
H8Syzr27,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to home scene",Light
H8nSD6s7,WHEN every time you miss a phone call on your Android device,", THEN make your lights quickly blink the color of your choice",Light
H94SuJcV,WHEN a selected member leaves,", THEN set your aura to home scene",Light
H9nDpiGc,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to home scene",Light
H9v3Cfem,WHEN the scene is changed to the selected scene,", THEN set your aura to guardian scene",Light
HA3zj_Zc,WHEN an abode alarm is active,", THEN briefly turn your hue lights off THEN back on",Light
HA83wWHJ,WHEN every single day at a specific time set by you,", THEN turn off your hue lights",Light
HAtfiL7E,WHEN within 15 minutes of the sunset in your location,", THEN dim or brighten your hue lights to a value between 0-100",Light
HBTr6atg,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to away scene",Light
HBqeZFJz,WHEN every time your ecobee thermostat senses that the outdoor temperature is less than a specific value you supply,", THEN set the thermostat into a hold using the settings from the specified comfort profile",Thermostat/Heating
HBwNMtvY,WHEN every single day at a specific time set by you,", THEN turn off your hue lights",Light
HCkzZgmA,WHEN a selected member arrives,", THEN set your aura to guardian scene",Light
HCnNZJkS,WHEN a selected member arrives,", THEN set your aura to guardian scene",Light
HD4RFyLu,WHEN there is a new membership for your channel,", THEN set your lights to a specified brightness",Light
HDauSd6V,WHEN the scene is changed to the selected scene,", THEN set your aura to guardian scene",Light
HDdmciku,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to away scene",Light
HE8cmT9p,WHEN every time you exit an area you specify,", THEN execute the indicated scene",Air/Climate
HE9eatvc,WHEN every time the carbon dioxide rises above a value you specify,", THEN change the color of your hue lights",Light
HEB5qp8k,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to guardian scene",Light
HEHa8TQm,WHEN a selected member arrives,", THEN set your aura to home scene",Light
HEUnmiP8,WHEN within 15 minutes of the sunset in your location,", THEN turn your lights on",Light
HEbXAunZ,WHEN a selected member arrives,", THEN set your aura to away scene",Light
HEykz7pM,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to guardian scene",Light
HF3v6MHg,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to away scene",Light
HGFAcC3g,WHEN the scene is changed to the selected scene,", THEN set your aura to pet scene",Light
HGNkBbgS,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to away scene",Light
HGexpRbB,WHEN Aura detects motion when set to Night scene,", THEN set your aura to home scene",Light
HHurA3QU,WHEN every time you miss a phone call on your Android device from a number you specify,", THEN change the color of your hue lights",Light
HJNUsSeZ,WHEN a selected member arrives,", THEN set your aura to home scene",Light
HL2YfQxe,WHEN the scene is changed to the selected scene,", THEN set your aura to away scene",Light
HLb6Hwhx,WHEN every single day at a specific time set by you,", THEN turn on your hue lights",Light
HLeJxpvc,WHEN every time the Nest Protect you specify detects warning smoke levels,", THEN change the color of your hue lights",Light
HMRerCYK,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to guardian scene",Light
HNQtKbc7,WHEN a selected member arrives,", THEN set your aura to guardian scene",Light
HNg9Yyfm,WHEN every time you say 'Alexa trigger' + the phrase that you have defined,", THEN turn a wemo light switch off",Light
HNjJ24FS,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to guardian scene",Light
HNtYRmHD,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to guardian scene",Light
HPJnAGZ8,WHEN there is a new Super Chat message in a live chat during a live stream on your channel,", THEN set your lights to a pre-defined scene",Light
HPU5ukR3,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to guardian scene",Light
HQ6KJbrT,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to guardian scene",Light
HQMf6gvD,WHEN Aura detects motion,", THEN set your aura to guardian scene",Light
HQXD6qWM,WHEN every time you exit an area you specify,", THEN turn off your daikin ac unit",Air/Climate
HQwyAjFS,WHEN every time somebody rings your Ring Doorbell,", THEN briefly turn your hue lights off THEN back on",Light
HQyiKVkc,WHEN Aura detects motion,", THEN set your aura to away scene",Light
HRdQEKDV,WHEN the scene is changed to the selected scene,", THEN set your aura to away scene",Light
HSD42jfy,WHEN you say “Ok Google” to the Google Assistant followed by a phrase you choose,", THEN turn on your hvac system fan for the amount of time you specify in your nest fan timer setting (default is 15 minutes)",Thermostat/Heating
HSMC45Ae,WHEN the scene is changed to the selected scene,", THEN set your aura to away scene",Light
HSTbEf7u,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to guardian scene",Light
HSTwFuYX,WHEN there is a new Super Chat message in a live chat during a live stream on your channel,", THEN set your lights to a specified brightness",Light
HSYhpTQ3,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to guardian scene",Light
HScCZYUw,WHEN the scene is changed to the selected scene,", THEN set your aura to guardian scene",Light
HSiQNzCW,WHEN every time your Netatmo Rain Gauge detects that it is raining,", THEN briefly turn your hue lights off THEN back on",Light
HSsdZaHj,WHEN only on specific days of the week at the time you provide,", THEN turn off your hue lights",Light
HT9iS2t5,WHEN the scene is changed to the selected scene,", THEN set your aura to away scene",Light
HTMKZg4u,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to home scene",Light
HTak4X5f,WHEN every time you enter an area you specify,", THEN turn on your hue lights",Light
HTb8D2sm,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to guardian scene",Light
HTcnRHWp,WHEN a selected member arrives,", THEN set your aura to guardian scene",Light
HUQZDWfR,WHEN a selected member arrives,", THEN set your aura to away scene",Light
HUb5ATM9,WHEN only on specific days of the week at the time you provide,", THEN turn off your hue lights",Light
HUdpPkbj,WHEN every time you enter an area you specify,", THEN set your lights to a pre-defined scene",Light
HUkPZJaL,WHEN Aura detects motion,", THEN set your aura to away scene",Light
HUq6yvVM,WHEN every time you say 'Alexa trigger' + the phrase that you have defined,", THEN change the color of your hue lights",Light
HVSK4Pjx,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to guardian scene",Light
HVWfXc5q,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to guardian scene",Light
HVmZ9NTX,WHEN every time you press the button,", THEN change your hue lights to a randomly selected color",Light
HVxR5Afk,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to guardian scene",Light
HWEKzRSP,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to guardian scene",Light
HWK3rVUx,WHEN the scene is changed to the selected scene,", THEN set your aura to night scene",Light
HWKpYSHV,WHEN a selected member arrives,", THEN set your aura to guardian scene",Light
HWL4iNCd,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to guardian scene",Light
HWdxGVsK,WHEN a selected member arrives,", THEN set your aura to home scene",Light
HWvZa85J,WHEN every time you add an item to your To Do List,", THEN set a nest thermostat to the temperature you specify",Thermostat/Heating
HX9ZvUnT,WHEN every single day at a specific time set by you,", THEN turn off your hue lights",Light
HYCicfTz,WHEN within 15 minutes of the sunset in your location,", THEN turn a wemo switch on",Generic/Other
HYRtDhpM,WHEN the scene is changed to the selected scene,", THEN set your aura to away scene",Light
HZJT4jfP,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to guardian scene",Light
HZe8x9ck,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to guardian scene",Light
HZfYN2Ai,WHEN every time you say 'Alexa trigger' + the phrase that you have defined,", THEN dim or brighten your hue lights to a value between 0-100",Light
Ha7eZTMg,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to night scene",Light
HaAdrsep,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to guardian scene",Light
HaDZSMXu,WHEN within 15 minutes of the sunset in your location,", THEN turn on your smartthings devices that support switching on",Generic/Other
HaLNeP7k,WHEN every single day at a specific time set by you,", THEN turn a wemo switch off",Generic/Other
HaVMuQUm,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to guardian scene",Light
HaZSGD4z,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to away scene",Light
HafuYjzs,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to guardian scene",Light
Hasi4UXr,WHEN you say “Ok Google” to the Google Assistant followed by a phrase you choose,", THEN toggle your hue lights on or off",Light
Hb4rzL8a,WHEN a selected member arrives,", THEN set your aura to guardian scene",Light
HbRDhgJA,WHEN the scene is changed to the selected scene,", THEN set your aura to away scene",Light
HcFZzVgb,WHEN the scene is changed to the selected scene,", THEN set your aura to away scene",Light
HcT7Lx5R,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to away scene",Light
HcU6MrJH,WHEN only on specific days of the week at the time you provide,", THEN turn your lights on",Light
HcXMpTxf,WHEN every time you say 'Alexa trigger' + the phrase that you have defined,", THEN turn off your hue lights",Light
Hctd9v3F,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to guardian scene",Light
Hd6AsfE2,WHEN every single day at a specific time set by you,", THEN turn a wemo switch on",Generic/Other
HdSELnmV,WHEN a selected member arrives,", THEN set your aura to away scene",Light
HdUzQ8hf,WHEN you say “Ok Google” to the Google Assistant followed by a phrase you choose,", THEN turn off your hue lights",Light
HdXZcbFv,WHEN every single day at a specific time set by you,", THEN dim or brighten your hue lights to a value between 0-100",Light
Hdc5gqzP,WHEN the scene is changed to the selected scene,", THEN set your aura to guardian scene",Light
HeEKTpX8,WHEN every single day at a specific time set by you,", THEN turn on your hue lights",Light
HeK3pHzf,WHEN Aura detects motion when set to Night scene,", THEN set your aura to home scene",Light
HeQSUJTN,WHEN Aura detects motion,", THEN set your aura to guardian scene",Light
Het4CUbu,WHEN the scene is changed to the selected scene,", THEN set your aura to guardian scene",Light
HetFAqjm,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to away scene",Light
HfCRFLNH,WHEN every time you say 'Alexa trigger' + the phrase that you have defined,", THEN change the color of your hue lights",Light
HfM8eg6Q,WHEN the scene is changed to the selected scene,", THEN set your aura to guardian scene",Light
HfPXtACu,WHEN a selected member arrives,", THEN set your aura to away scene",Light
HfRZQr67,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to away scene",Light
HfZSM4we,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to away scene",Light
HgSt2caZ,WHEN every time you say 'Alexa trigger' + the phrase that you have defined,", THEN turn off your hue lights",Light
HgunQTXw,WHEN you say “Ok Google” to the Google Assistant followed by a phrase you choose,", THEN trigger the specified bot to press the switch",Generic/Other
HhDwfcu7,WHEN the scene is changed to the selected scene,", THEN set your aura to guardian scene",Light
HhdQ6Nfy,WHEN a selected member arrives,", THEN set your aura to guardian scene",Light
HhyRTB69,"WHEN once an hour at :00, :15, :30, or :45 minutes past the hour",", THEN make your lights slowly breathe the color of your choice",Light
HizrF7T9,WHEN a selected member arrives,", THEN set your aura to away scene",Light
Hj43ABqT,WHEN every time you enter an area you specify,", THEN set your honeywell thermostat to resume the currently defined thermostat programmed schedule",Thermostat/Heating
HjB6mUyf,WHEN every time you say 'Alexa trigger' + the phrase that you have defined,", THEN dim or brighten your hue lights to a value between 0-100",Light
HjcpUivT,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to away scene",Light
HjniBmGT,WHEN every single day at a specific time set by you,", THEN turn on your hue lights",Light
HjqcSrLN,WHEN Aura detects motion,", THEN set your aura to guardian scene",Light
HkDFiCqX,WHEN every time your WeMo Switch is turned on,", THEN toggle a wemo switch on or off",Generic/Other
HkKh8Srp,WHEN a selected member arrives,", THEN set your aura to guardian scene",Light
HkfyFD5v,WHEN Aura detects motion when set to Night scene,", THEN set your aura to home scene",Light
HkmUYRgV,WHEN within 15 minutes of the sunset in your location,", THEN turn on, turn off or toggle your lights",Light
HmFUtHMb,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to guardian scene",Light
HmYNhnMK,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to away scene",Light
HmyJG7ER,WHEN every single day at a specific time set by you,", THEN turn off the device/group of your choosing",Generic/Other
HnB2kXbH,WHEN a selected member arrives,", THEN set your aura to guardian scene",Light
HnZMuAet,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to away scene",Light
HnuyQf6B,WHEN a selected member arrives,", THEN set your aura to guardian scene",Light
HpqHjKeC,WHEN every time you enter an area you specify,", THEN turn on, turn off or toggle your lights",Light
HpxLtiNA,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to guardian scene",Light
HpyUcwtL,WHEN a selected member arrives,", THEN set your aura to home scene",Light
HqSPyXbC,WHEN every time an audio event is detected,", THEN turn a wemo switch off",Generic/Other
HqwEXMb5,WHEN a selected member arrives,", THEN set your aura to guardian scene",Light
HrRGZKqU,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to guardian scene",Light
HtYMD9ek,WHEN the scene is changed to the selected scene,", THEN set your aura to night scene",Light
Hthp35zJ,WHEN every time you say 'Alexa trigger' + the phrase that you have defined,", THEN turn off your hue lights",Light
HtkXPb8u,WHEN every time you enter an area you specify,", THEN activate a scene",Light
Hu8JtRGN,WHEN a selected member arrives,", THEN set your aura to away scene",Light
Hu8nryaU,WHEN every time your WeMo Switch is turned on,", THEN turn a wemo switch off",Generic/Other
HuJ3E9pQ,WHEN a selected member arrives,", THEN set your aura to guardian scene",Light
HuvBkeG6,WHEN the scene is changed to the selected scene,", THEN set your aura to home scene",Light
HuvdVPAC,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to guardian scene",Light
HvdMNwDn,WHEN a selected member arrives,", THEN set your aura to away scene",Light
HwFvNaCX,WHEN Aura detects motion when set to Night scene,", THEN set your aura to away scene",Light
Hx3z7gsp,WHEN the scene is changed to the selected scene,", THEN set your aura to guardian scene",Light
Hx8WC37w,WHEN every single day at a specific time set by you,", THEN turn a wemo switch off",Generic/Other
Hy5kEtcw,WHEN Aura detects motion when set to Night scene,", THEN set your aura to guardian scene",Light
HyG7fxuT,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to guardian scene",Light
HyNmzHjZ,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to away scene",Light
HyPT8upn,WHEN every time you are tagged you in a new photo,", THEN briefly turn your hue lights off THEN back on",Light
HydN7Vmq,WHEN a selected member arrives,", THEN set your aura to guardian scene",Light
HykZqQa5,WHEN only on specific days of the week at the time you provide,", THEN turn a wemo switch on",Generic/Other
HzT4fME5,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to guardian scene",Light
HzZbpfKA,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to guardian scene",Light
HzcQvMXJ,WHEN every time you press the button,", THEN set a nest thermostat to the temperature you specify",Thermostat/Heating
Hze923Vc,WHEN every time IFTTT receives a specific event from Apilio,", THEN switch on your light",Light
HzhjCs9Q,WHEN every time you enter an area you specify,", THEN turn a wemo switch on",Generic/Other
J2rawgYq,WHEN only on specific days of the week at the time you provide,", THEN turn your lights on",Light
J4BJ8Vae,WHEN Aura detects motion,", THEN set your aura to guardian scene",Light
J4CJXfcw,WHEN every time you say 'Alexa trigger' + the phrase that you have defined,", THEN change the color of your hue lights",Light
J4LtVKsF,WHEN every time you say 'Alexa trigger' + the phrase that you have defined,", THEN set a scene on your hue lights",Light
J4PwRrcM,WHEN a selected member arrives,", THEN set your aura to away scene",Light
J4Zt8mxw,WHEN every time you enter an area you specify,", THEN turn on your hue lights",Light
J4zspG7P,WHEN within 15 minutes of the sunrise in your location,", THEN turn a wemo light switch off",Light
J5L3vx6E,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to guardian scene",Light
J5dyaJ8X,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to guardian scene",Light
J5muZvw2,WHEN every time your WeMo Light Switch is turned off,", THEN turn a wemo light switch off",Light
J5vzQdWq,WHEN the scene is changed to the selected scene,", THEN set your aura to night scene",Light
J6SRVtZB,WHEN a selected member arrives,", THEN set your aura to away scene",Light
J6jPuiVH,WHEN a selected member arrives,", THEN set your aura to guardian scene",Light
J6kiaxbD,WHEN the scene is changed to the selected scene,", THEN set your aura to guardian scene",Light
J7BeuY2P,WHEN Aura detects motion,", THEN set your aura to away scene",Light
J7Mfkwba,WHEN the scene is changed to the selected scene,", THEN set your aura to away scene",Light
J7U5cM9K,WHEN every time the Nest Protect you specify detects dangerous smoke levels,", THEN turn a wemo light switch on",Light
J7tBq3di,WHEN every time a new item is added to the feed you specify,", THEN briefly turn your hue lights off THEN back on",Light
J8Xk3eJc,WHEN every single day at a specific time set by you,", THEN turn a wemo switch off",Generic/Other
J8crVEYn,WHEN a selected member arrives,", THEN set your aura to home scene",Light
J8m4SkyF,WHEN within 15 minutes of the sunset in your location,", THEN turn a wemo insight switch on",Generic/Other
J9Xbdmf4,WHEN every time you receive any new SMS on your Android device,", THEN make your lights quickly blink the color of your choice",Light
J9i5HpXD,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to guardian scene",Light
J9mFeJBr,WHEN the ambient temperature read on your device is above or below the configured value,", THEN turn the specified product on",Generic/Other
J9qJcvRx,WHEN a selected member arrives,", THEN set your aura to away scene",Light
JARX4582,WHEN within 15 minutes of the sunset in your location,", THEN turn on your hue lights",Light
JAbqLxKh,WHEN only on specific days of the week at the time you provide,", THEN turn on your hue lights",Light
JAcJPDaq,WHEN a selected member arrives,", THEN set your aura to guardian scene",Light
JArW4pnP,WHEN you say “Ok Google” to the Google Assistant followed by a phrase you choose,", THEN stop your robot",Generic/Other
JBVZeCz5,WHEN every time you say 'Alexa trigger' + the phrase that you have defined,", THEN change the color of your hue lights",Light
JBWVe6Xq,WHEN every single day at a specific time set by you,", THEN turn your lights off",Light
JBZhxzdX,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to guardian scene",Light
JBmyRd8i,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to guardian scene",Light
JC9YbpsQ,WHEN the scene is changed to the selected scene,", THEN set your aura to home scene",Light
JCAMsyJc,WHEN a selected member arrives,", THEN set your aura to away scene",Light
