id,triggerDesc,actionDesc,deviceCategory,original_content_after_dot
M2gdPS6n,WHEN every time your WeMo Light Switch is turned on or off with a long press over two seconds,", THEN turn a wemo light switch off",Light,"If the WeMo Switch is already off, it will remain off."
M34kPvAh,WHEN within 15 minutes of the sunset in your location,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
M4qPCRVn,WHEN every time you say 'Alexa trigger' + the phrase that you have defined,", THEN turns on the selected wemo light",Light,If it is already on it stays on.
M62PWTEk,WHEN every time you say 'Alexa trigger' + the phrase that you have defined,", THEN change the color of the nanoleaf light panels or canvas that you select from the device dropdown on this screen",Light,You can enter either a hex value or a keyword for the color. Need help choosing a color? Bookmark nanoleaf.me/ifttt for easy access to a list and color picker.
MAvD5CSB,WHEN specified PIR KumoSensor detects movement,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
MG6EWqYV,WHEN every time a motion is detected at the given doorbell,", THEN turn a wemo dimmer on",Generic/Other,"If the WeMo Dimmer is already on, it will remain on."
MHvJ9D8g,WHEN every single day at a specific time set by you,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
MNZEQ6va,WHEN within 15 minutes of the sunset in your location,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
MPM4K3wz,WHEN every single day at a specific time set by you,", THEN return control of your heating to tado⁠°, using your user-defined settings (e",Thermostat/Heating,g. location and Smart Schedule) to automatically determine the right room temperature.
MPdcv3YA,WHEN an alarm event occurs,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
MWhRutgs,WHEN only on specific days of the week at the time you provide,", THEN turn a wemo insight switch on",Generic/Other,"If the WeMo Insight Switch is already on, it will remain on."
MYQqh5Tj,WHEN every time you say 'Alexa trigger' + the phrase that you have defined,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
MdgCzJnt,WHEN within 15 minutes of the sunset in your location,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
MgDEZiRF,WHEN every single day at a specific time set by you,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
MiDbqmjw,WHEN within 15 minutes of the sunset in your location,", THEN turn a wemo switch off",Generic/Other,"If the WeMo Switch is already off, it will remain off."
MjFd4iYg,WHEN within 15 minutes of the sunset in your location,", THEN turn a wemo light switch on",Light,"If the WeMo Switch is already on, it will remain on."
Mpct74jn,WHEN every time you say 'Alexa trigger' + the phrase that you have defined,", THEN turn on your daikin ac unit, or change its settings",Air/Climate,It will be executed within 1 minute.
MqBhYGsu,WHEN within 15 minutes of the sunset in your location,", THEN turn a wemo light switch on",Light,"If the WeMo Switch is already on, it will remain on."
MzXFWc2R,WHEN within 15 minutes of the sunset in your location,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
N296S3Rn,WHEN every time your WeMo Switch is turned on,", THEN turn a wemo switch off",Generic/Other,"If the WeMo Switch is already off, it will remain off."
N9RB6TqN,WHEN every time you are tagged you in a new photo,", THEN turn on the selected light(s)",Light,"Optionally, a light mode or pre-defined color can be applied, as well as a level of dimming."
NAGNaUXi,WHEN every time a motion event is detected,", THEN turn a wemo insight switch on",Generic/Other,"If the WeMo Insight Switch is already on, it will remain on."
NLAatQWq,WHEN a set number of minutes before the starting time of an event on your Google Calendar that contains a specific keyword or phrase,", THEN set the thermostat into a hold using the settings from the specified comfort profile",Thermostat/Heating,This comfort profile hold will remain in effect until the next next comfort profile transition in the program.
NSDwEtNa,WHEN every time a new post becomes one of the ten hottest posts in the subreddit you specify,", THEN activate the scene that you choose",Light,You can choose from any Scene that is listed in your Nanoleaf Smarter Series App.
NSHF8TVK,"WHEN a specified tag with humidity or moisture monitoring enabled, detects 'too dry' state",", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
NVwY3DyW,WHEN every time you exit an area you specify,", THEN set the thermostat into a hold using the settings from the specified comfort profile",Thermostat/Heating,This comfort profile hold will remain in effect until the next next comfort profile transition in the program.
NWSRBHGi,WHEN every time the home you specify is set to Away,", THEN turn a wemo light switch off",Light,"If the WeMo Switch is already off, it will remain off."
NcLuPDRa,WHEN every time you say 'Alexa trigger' + the phrase that you have defined,", THEN turn a wemo light switch off",Light,"If the WeMo Switch is already off, it will remain off."
Ndug5Tcr,"WHEN a set number of minutes before the starting time of an event on your Calendar that contains a specific keyword or phrase in the event’s Title, Description, or Location",", THEN enable/disable holiday mode on all your daikin ac units",Air/Climate,It will be executed within 1 minute.
NfneQrJ3,WHEN every time your WeMo Light Switch is turned on,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
NhbAnLmV,WHEN every single day at a specific time set by you,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
NiwTBn4K,WHEN an alarm event occurs,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
NjsUvNHa,WHEN every time you say 'Alexa trigger' + the phrase that you have defined,", THEN turn on your daikin ac unit, or change its settings",Air/Climate,It will be executed within 1 minute.
NmBwLeqk,WHEN every time you press the button,", THEN turn off the pivot power genius outlet you specify",Generic/Other,"If the outlet is already off, it will remain off."
Nn6aTCKc,WHEN every time you say 'Alexa trigger' + the phrase that you have defined,", THEN turn a wemo light switch on",Light,"If the WeMo Switch is already on, it will remain on."
NrqsCJE6,WHEN within 15 minutes of the sunrise in your location,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
Nv5LThbU,WHEN every time your SmartThings device senses motion,", THEN turn a wemo insight switch on",Generic/Other,"If the WeMo Insight Switch is already on, it will remain on."
P8RXa53d,WHEN within 15 minutes of the sunrise in your location,", THEN turn a wemo switch off",Generic/Other,"If the WeMo Switch is already off, it will remain off."
P8xt3kaf,WHEN you say “Ok Google” to the Google Assistant followed by a phrase you choose,", THEN turn a wemo switch off",Generic/Other,"If the WeMo Switch is already off, it will remain off."
P9hpwLNf,WHEN within 15 minutes of the sunrise in your location,", THEN activate the scene that you choose",Light,You can choose from any Scene that is listed in your Nanoleaf Smarter Series App.
PMahi6uX,WHEN you say “Ok Google” to the Google Assistant followed by a phrase you choose,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
PMcLkRNK,WHEN every time you exit an area you specify,", THEN set the thermostat into a hold using the settings from the specified comfort profile",Thermostat/Heating,This comfort profile hold will remain in effect until the next next comfort profile transition in the program.
PQwtC52H,WHEN every single day at a specific time set by you,", THEN open the garage door you specify",Generic/Other,"If the garage door is already opened, the door will remain opened. This Action will only work with 'garage mode'. Remote access must be enabled."
PZJMrmAe,WHEN every time your WeMo Dimmer is turned on or off with a long press over two seconds,", THEN turn a wemo dimmer off",Generic/Other,"If the WeMo Dimmer is already off, it will remain off."
PdnM5pbq,WHEN every time you say 'Alexa trigger' + the phrase that you have defined,", THEN set the thermostat into a hold using the settings from the specified comfort profile",Thermostat/Heating,This comfort profile hold will remain in effect until the next next comfort profile transition in the program.
PmCPDYSM,WHEN every time you answer a phone call on your Android device,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
PrPftsu4,WHEN every time you enter an area you specify,", THEN turn a wemo light switch on",Light,"If the WeMo Switch is already on, it will remain on."
Pub9QDSE,WHEN every time your SmartThings device detects temperatures below a value you specify,", THEN turn on the selected light(s)",Light,"Optionally, a light mode or pre-defined color can be applied, as well as a level of dimming."
PwqXfSEr,WHEN every time you say 'Alexa trigger' + the phrase that you have defined,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
PxAFim6c,WHEN every time the Nest Protect you specify detects warning carbon monoxide levels,", THEN set the thermostat into a hold using the settings from the specified comfort profile",Thermostat/Heating,This comfort profile hold will remain in effect until the next next comfort profile transition in the program.
PyLu37sn,WHEN every time you add a new reminder,", THEN turn a wemo light switch on",Light,"If the WeMo Switch is already on, it will remain on."
Pz6pirtw,WHEN you say “Ok Google” to the Google Assistant followed by a phrase you choose,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
PzwQuNDm,WHEN every time you exit an area you specify,", THEN set the thermostat into a hold using the settings from the specified comfort profile",Thermostat/Heating,This comfort profile hold will remain in effect until the next next comfort profile transition in the program.
Q2Mbwn3E,"WHEN once an hour at :00, :15, :30, or :45 minutes past the hour",", THEN close the garage door you specify",Generic/Other,"If the garage door is already closed, the door will remain closed. This Action will only work with 'garage mode'. Remote access must be enabled."
Q4rnkGtA,WHEN every time an air quality alert is raised by your Withings Home,", THEN turn on the selected light(s)",Light,"Optionally, a light mode or pre-defined color can be applied, as well as a level of dimming."
QHyN9BJW,WHEN ever time the gust speed rises above a value you specify,", THEN turn on the selected light(s)",Light,"Optionally, a light mode or pre-defined color can be applied, as well as a level of dimming."
QRAU4qvM,WHEN every single day at a specific time set by you,", THEN change the color of the nanoleaf light panels or canvas that you select from the device dropdown on this screen",Light,You can enter either a hex value or a keyword for the color. Need help choosing a color? Bookmark nanoleaf.me/ifttt for easy access to a list and color picker.
QRCufVGW,WHEN every time you enter an area you specify,", THEN set the thermostat into a hold using the settings from the specified comfort profile",Thermostat/Heating,This comfort profile hold will remain in effect until the next next comfort profile transition in the program.
QTUFc4yz,WHEN every single day at a specific time set by you,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
QXPSdL3A,WHEN you say “Ok Google” to the Google Assistant followed by a phrase you choose,", THEN turns on the selected wemo light",Light,If it is already on it stays on.
QeD9wjJz,WHEN every time you say 'Alexa trigger' + the phrase that you have defined,", THEN turn a wemo switch off",Generic/Other,"If the WeMo Switch is already off, it will remain off."
QfzNXMPg,WHEN every time the Nest Protect you specify detects warning smoke levels,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
QvxpdPcu,WHEN within 15 minutes of the sunset in your location,", THEN turn a wemo light switch on",Light,"If the WeMo Switch is already on, it will remain on."
QwfZaRnF,WHEN only on specific days of the week at the time you provide,", THEN turn a wemo switch off",Generic/Other,"If the WeMo Switch is already off, it will remain off."
QxT4Ggsr,WHEN every time your IFTTT Tag on MESH app receives an input signal from the other Tag,", THEN turn a wemo light switch on",Light,"If the WeMo Switch is already on, it will remain on."
R5USvHcz,WHEN every single day at a specific time set by you,", THEN close the garage door you specify",Generic/Other,"If the garage door is already closed, the door will remain closed. This Action will only work with 'garage mode'. Remote access must be enabled."
R6NXxtBG,WHEN within 15 minutes of the sunrise in your location,", THEN turn a wemo switch off",Generic/Other,"If the WeMo Switch is already off, it will remain off."
R6cadfj3,WHEN within 15 minutes of the sunrise in your location,", THEN turn on the pivot power genius outlet you specify",Generic/Other,"If the outlet is already on, it will remain on."
R7MRQzqi,WHEN every time your ecobee thermostat senses that the indoor temperature is greater than a specific value you supply,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
R8eqUisC,WHEN only on specific days of the week at the time you provide,", THEN turn a wemo switch off",Generic/Other,"If the WeMo Switch is already off, it will remain off."
REBHPzkt,WHEN once a year on the date and time you specify,", THEN activate the scene that you choose",Light,You can choose from any Scene that is listed in your Nanoleaf Smarter Series App.
REytBF8i,WHEN every time you exit an area you specify,", THEN turn a wemo switch off",Generic/Other,"If the WeMo Switch is already off, it will remain off."
RGnx6ZKW,WHEN every time the temperature rises above a value you specify,", THEN turn on the selected light(s)",Light,"Optionally, a light mode or pre-defined color can be applied, as well as a level of dimming."
RJbKEpj6,WHEN every time the Nest Protect you specify detects warning carbon monoxide levels,", THEN turn on the selected light(s)",Light,"Optionally, a light mode or pre-defined color can be applied, as well as a level of dimming."
RLYEdAvJ,WHEN every time you exit an area you specify,", THEN turn a wemo switch off",Generic/Other,"If the WeMo Switch is already off, it will remain off."
RQRnT5qH,WHEN every time the temperature drops below a threshold you specify,", THEN turn a wemo switch off",Generic/Other,"If the WeMo Switch is already off, it will remain off."
RQW3gtJG,WHEN every time your ecobee thermostat senses that the indoor temperature is greater than a specific value you supply,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
RRdCij9N,WHEN every time you say 'Alexa trigger' + the phrase that you have defined,", THEN set the thermostat into a hold using the settings from the specified comfort profile",Thermostat/Heating,This comfort profile hold will remain in effect until the next next comfort profile transition in the program.
RV28HijT,WHEN you say “Ok Google” to the Google Assistant followed by a phrase like “Post a tweet saying ‘New high score,", THEN turn a wemo maker off THEN on",Generic/Other,"If the WeMo Maker is already off, it will remain off."
RVyfT42s,WHEN a set number of minutes before the starting time of an event on your Google Calendar that contains a specific keyword or phrase,", THEN set the thermostat into a hold using the settings from the specified comfort profile",Thermostat/Heating,This comfort profile hold will remain in effect until the next next comfort profile transition in the program.
RaAcZ5xw,WHEN every single day at a specific time set by you,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
RazgCeSY,WHEN every time your alarm goes off,", THEN turn a wemo insight switch on",Generic/Other,"If the WeMo Insight Switch is already on, it will remain on."
Rbd45ufq,"WHEN whenever the carbon intensity changes for the ComEd service territory, use this trigger to help lower your carbon footprint by reducing your energy during high carbon times",", THEN turn a wemo switch off",Generic/Other,"If the WeMo Switch is already off, it will remain off."
RbshBUZm,"WHEN whenever the carbon intensity changes for the ComEd service territory, use this trigger to help lower your carbon footprint by reducing your energy during high carbon times",", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
Re9EcDXm,WHEN every time you say 'Alexa trigger' + the phrase that you have defined,", THEN turns off the selected wemo light",Light,If it is already off it stays off.
RiatGYQy,WHEN every time a motion event is detected,", THEN turn a wemo insight switch on",Generic/Other,"If the WeMo Insight Switch is already on, it will remain on."
Rjp4qU2s,WHEN every time you exit an area you specify,", THEN turn a wemo switch off",Generic/Other,"If the WeMo Switch is already off, it will remain off."
RqAhnXkp,WHEN every time the carbon dioxide rises above a value you specify,", THEN turn a wemo insight switch on",Generic/Other,"If the WeMo Insight Switch is already on, it will remain on."
RvujgkNL,WHEN every time you press the button,", THEN turn a wemo insight switch on",Generic/Other,"If the WeMo Insight Switch is already on, it will remain on."
RwD3sm6M,WHEN every time you say 'Alexa trigger' + the phrase that you have defined,", THEN turns on the selected wemo light",Light,If it is already on it stays on.
Rwhx8EaF,WHEN every time a motion event is detected,", THEN turn on the selected light(s)",Light,"Optionally, a light mode or pre-defined color can be applied, as well as a level of dimming."
RyMA9fQh,WHEN you tap a gesture with a custom IFTTT task matching the ID of this trigger,", THEN turns on the selected wemo light",Light,If it is already on it stays on.
RzsrPMBt,WHEN the AQI of your device exceeds a selected threshold,", THEN change the color of the nanoleaf light panels or canvas that you select from the device dropdown on this screen",Light,You can enter either a hex value or a keyword for the color. Need help choosing a color? Bookmark nanoleaf.me/ifttt for easy access to a list and color picker.
S29wLzf6,WHEN every single day at a specific time set by you,", THEN turn a wemo light switch off",Light,"If the WeMo Switch is already off, it will remain off."
SA9nZ3XL,WHEN within 15 minutes of the sunset in your location,", THEN turn on the pivot power genius outlet you specify",Generic/Other,"If the outlet is already on, it will remain on."
SCXszwUV,WHEN you say “Ok Google” to the Google Assistant followed by a phrase you choose,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
SE4qQNmu,WHEN you say “Ok Google” to the Google Assistant followed by a phrase you choose,", THEN set the thermostat into a hold using the settings from the specified comfort profile",Thermostat/Heating,This comfort profile hold will remain in effect until the next next comfort profile transition in the program.
SHEL7FR2,WHEN every single day at a specific time set by you,", THEN turn a wemo switch off",Generic/Other,"If the WeMo Switch is already off, it will remain off."
SKQhDr7t,WHEN every time the temperature rises above a threshold you specify,", THEN turn on the pivot power genius outlet you specify",Generic/Other,"If the outlet is already on, it will remain on."
SKVNCr37,WHEN every time the home you specify is set to Away,", THEN turn off the pivot power genius outlet you specify",Generic/Other,"If the outlet is already off, it will remain off."
SNEvWXf6,WHEN every time IFTTT receives a specific event from Apilio,", THEN turn a wemo switch off",Generic/Other,"If the WeMo Switch is already off, it will remain off."
SNU6BfdL,WHEN you say “Ok Google” to the Google Assistant followed by a phrase you choose,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
SWCFUNvc,WHEN within 15 minutes of the sunset in your location,", THEN turn a wemo light switch on",Light,"If the WeMo Switch is already on, it will remain on."
SWPXA64D,WHEN every time you enter an area you specify,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
SYqyuvtc,WHEN your robot completes a job,", THEN clean a specific room in your home",Generic/Other,For robots with Imprint™ Smart Mapping technology.
SYwb4SeJ,WHEN every time your WeMo light switches off,", THEN changes the brightness level of the selected wemo light",Light,If the light is off it will turn on with selected brightness level.
ScpWuLmD,WHEN every time you say 'Alexa trigger' + the phrase that you have defined,", THEN open the garage door you specify",Generic/Other,"If the garage door is already opened, the door will remain opened. This Action will only work with 'garage mode'. Remote access must be enabled."
SfnGePik,WHEN you say “Ok Google” to the Google Assistant followed by a phrase you choose,", THEN close the garage door you specify",Generic/Other,"If the garage door is already closed, the door will remain closed. This Action will only work with 'garage mode'. Remote access must be enabled."
SpAFHgf8,WHEN every time somebody rings your Ring Doorbell,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
SruUaxDv,WHEN within 15 minutes of the sunrise in your location,", THEN turn a wemo switch off",Generic/Other,"If the WeMo Switch is already off, it will remain off."
Stv7iLzu,WHEN every time your WeMo Switch is turned off,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
Sv76UFdA,WHEN every time your WeMo Motion sensor detects new motion,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
SvWAsweH,WHEN within 15 minutes of the sunset in your location,", THEN turns on the selected group of wemo lights",Light,If the group is already on it will remain on.
SwEr5zxi,WHEN your order is out for delivery,", THEN turn on the selected light(s)",Light,"Optionally, a light mode or pre-defined color can be applied, as well as a level of dimming."
T29fAkVK,WHEN every time the door is unlocked,", THEN turn on the selected light(s)",Light,"Optionally, a light mode or pre-defined color can be applied, as well as a level of dimming."
T43LMzBr,WHEN every time you enter an area you specify,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
T4yVrXSa,WHEN only on specific days of the week at the time you provide,", THEN turns on the selected wemo light",Light,If it is already on it stays on.
T6Ycghqe,WHEN every time your alarm goes off,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
TBLSrjMH,WHEN within 15 minutes of the sunset in your location,", THEN turn a wemo light switch on",Light,"If the WeMo Switch is already on, it will remain on."
TJKUctuw,"WHEN once an hour at :00, :15, :30, or :45 minutes past the hour",", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
TKA7WcMS,WHEN every time your WeMo Motion sensor detects new motion,", THEN turn a wemo switch off",Generic/Other,"If the WeMo Switch is already off, it will remain off."
TLGe4uR2,WHEN every single day at a specific time set by you,", THEN turn a wemo light switch off",Light,"If the WeMo Switch is already off, it will remain off."
TNu48z7f,WHEN within 15 minutes of the sunset in your location,", THEN turn a wemo light switch on",Light,"If the WeMo Switch is already on, it will remain on."
TQNfpurZ,WHEN every time the you ask Alexa what's on your To Do List,", THEN turns off the selected wemo light",Light,If it is already off it stays off.
TREN7suT,WHEN every time you achieve your daily step goal,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
TRF46bQp,WHEN every time you say 'Alexa trigger' + the phrase that you have defined,", THEN turns on the selected group of wemo lights",Light,If the group is already on it will remain on.
TSvYGPFQ,WHEN a Noonlight alarm is triggered,", THEN turn on the selected light(s)",Light,"Optionally, a light mode or pre-defined color can be applied, as well as a level of dimming."
TTADKtkL,WHEN within 15 minutes of the sunset in your location,", THEN turn a wemo light switch on",Light,"If the WeMo Switch is already on, it will remain on."
TUfF5BPa,WHEN every time the home you specify is set to Home,", THEN turn on the selected light(s)",Light,"Optionally, a light mode or pre-defined color can be applied, as well as a level of dimming."
TUrCYyWG,WHEN within 15 minutes of the sunset in your location,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
TWeB67jq,WHEN every time the specified lock is unlocked,", THEN set the thermostat into a hold using the settings from the specified comfort profile",Thermostat/Heating,This comfort profile hold will remain in effect until the next next comfort profile transition in the program.
TZvy8MBz,WHEN within 15 minutes of the sunset in your location,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
TcMjeVn5,WHEN every time a stream is going live for the specified Channel that you follow,", THEN turn on the selected light(s)",Light,"Optionally, a light mode or pre-defined color can be applied, as well as a level of dimming."
Tg3HC4JP,WHEN every time you are @mentioned in a tweet,", THEN turns on the selected wemo light",Light,If it is already on it stays on.
ThBTM2JY,WHEN within 15 minutes of the sunset in your location,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
Tn7wRrDZ,WHEN within 15 minutes of the sunset in your location,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
TnjaNvi6,WHEN within 15 minutes of the sunset in your location,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
Tr2M6uyc,WHEN every time IFTTT receives a specific event from Apilio,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
TvcSHGU8,WHEN an OhmHour ends,", THEN set your honeywell thermostat to hold a temperature for a specified period of time",Thermostat/Heating,The schedule will resume when the time expires.
Tx3kQAJW,WHEN every time your WeMo Light Switch is turned off,", THEN turn a wemo switch off",Generic/Other,"If the WeMo Switch is already off, it will remain off."
Tx9mdBiE,WHEN within 15 minutes of the sunset in your location,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
Txwyn5iN,"WHEN a set number of minutes before the starting time of an event on your Calendar that contains a specific keyword or phrase in the event’s Title, Description, or Location",", THEN create a vacation event on the selected thermostat with the specified setpoint",Thermostat/Heating,The vacation event will begin immediately and last the number of specified days.
U4RekapQ,WHEN every time the temperature rises above a threshold you specify,", THEN turn off the pivot power genius outlet you specify",Generic/Other,"If the outlet is already off, it will remain off."
U6rju9yJ,WHEN every time you say 'Alexa trigger' + the phrase that you have defined,", THEN turn on your daikin ac unit, or change its settings",Air/Climate,It will be executed within 1 minute.
U85XQmqZ,WHEN every single day at a specific time set by you,", THEN turn a wemo light switch off",Light,"If the WeMo Switch is already off, it will remain off."
UB8HFcgu,WHEN you say “Ok Google” to the Google Assistant followed by a phrase like “Post a tweet saying ‘New high score,", THEN turn on your daikin ac unit, or change its settings",Air/Climate,It will be executed within 1 minute.
UC9pSWgM,WHEN every time you send an SMS on your Android device,", THEN turn a wemo light switch on",Light,"If the WeMo Switch is already on, it will remain on."
UJWqtaSA,WHEN within 15 minutes of the sunset in your location,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
UKGCELxb,WHEN every single day at a specific time set by you,", THEN open the garage door you specify",Generic/Other,"If the garage door is already opened, the door will remain opened. This Action will only work with 'garage mode'. Remote access must be enabled."
UKbX9ZAj,WHEN every time the home you specify is set to Home,", THEN turn off the pivot power genius outlet you specify",Generic/Other,"If the outlet is already off, it will remain off."
UMX2qD6C,WHEN every single day at a specific time set by you,", THEN turn a wemo switch off",Generic/Other,"If the WeMo Switch is already off, it will remain off."
UNwhHYaA,WHEN every time your Android device disconnects from a WiFi network you specify,", THEN set the thermostat into a hold using the settings from the specified comfort profile",Thermostat/Heating,This comfort profile hold will remain in effect until the next next comfort profile transition in the program.
UPrF9qXM,WHEN every single day at a specific time set by you,", THEN turn a wemo switch off",Generic/Other,"If the WeMo Switch is already off, it will remain off."
URg5NeYf,WHEN every single day at a specific time set by you,", THEN turn a wemo switch off",Generic/Other,"If the WeMo Switch is already off, it will remain off."
URznpkXm,WHEN an OhmHour starts,", THEN set your honeywell thermostat to hold a temperature for a specified period of time",Thermostat/Heating,The schedule will resume when the time expires.
USMxdTZB,WHEN every time the Nest Protect you specify detects dangerous smoke levels,", THEN turn on the selected light(s)",Light,"Optionally, a light mode or pre-defined color can be applied, as well as a level of dimming."
USW63Lkm,WHEN global air pollution is higher than 50,", THEN set the thermostat into a hold using the settings from the specified comfort profile",Thermostat/Heating,This comfort profile hold will remain in effect for the specified number of hours.
UXEJUGCN,WHEN every time the temperature rises above a value you specify,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
UYAedJMN,WHEN every time your Android device disconnects from a WiFi network you specify,", THEN set the thermostat into a hold using the settings from the specified comfort profile",Thermostat/Heating,This comfort profile hold will remain in effect until the next next comfort profile transition in the program.
UYkVTJf4,WHEN every time you enter an area you specify,", THEN set the thermostat into a hold using the settings from the specified comfort profile",Thermostat/Heating,This comfort profile hold will remain in effect until the next next comfort profile transition in the program.
Ua8gBviJ,WHEN every time you check in on Foursquare or Swarm,", THEN turn a wemo switch off",Generic/Other,"If the WeMo Switch is already off, it will remain off."
UbpRDXyd,WHEN within 15 minutes of the sunset in your location,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
UdygtUkb,WHEN every time you exit an area you specify,", THEN set the thermostat into a hold using the settings from the specified comfort profile",Thermostat/Heating,This comfort profile hold will remain in effect until the next next comfort profile transition in the program.
Udynh2iv,WHEN every time you say 'Alexa trigger' + the phrase that you have defined,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
Ug2YWati,WHEN every single day at a specific time set by you,", THEN turn a wemo switch off",Generic/Other,"If the WeMo Switch is already off, it will remain off."
Ut7rjKHy,WHEN every time the home you specify is set to Away,", THEN turn a wemo switch off",Generic/Other,"If the WeMo Switch is already off, it will remain off."
UubCdpBP,WHEN within 15 minutes of the sunrise in your location,", THEN turn a wemo light switch off",Light,"If the WeMo Switch is already off, it will remain off."
UvJZKCmE,WHEN every time your Dimmer is turned off,", THEN turn a wemo dimmer on",Generic/Other,"If the WeMo Dimmer is already on, it will remain on."
UvzNAZnR,WHEN you tap a gesture with a custom IFTTT task matching the ID of this trigger,", THEN turns off the selected wemo light",Light,If it is already off it stays off.
V3APqy75,WHEN every time you say 'Alexa trigger' + the phrase that you have defined,", THEN set your honeywell thermostat to hold a temperature for a specified period of time",Thermostat/Heating,The schedule will resume when the time expires.
V6Kk9gYW,WHEN within 15 minutes of the sunset in your location,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
V7mewEFN,WHEN every time you say 'Alexa trigger' + the phrase that you have defined,", THEN turn a wemo light switch off",Light,"If the WeMo Switch is already off, it will remain off."
V7n9HdJG,WHEN every time you press the button,", THEN return control of your heating to tado⁠°, using your user-defined settings (e",Thermostat/Heating,g. location and Smart Schedule) to automatically determine the right room temperature.
VDyfYkxW,WHEN every time your WeMo light switches on,", THEN changes the brightness level of the selected wemo light",Light,If the light is off it will turn on with selected brightness level.
VKxNdjLJ,WHEN every time you enter an area you specify,", THEN turn a wemo insight switch on",Generic/Other,"If the WeMo Insight Switch is already on, it will remain on."
VLwXv4uU,WHEN every day after the markets close and a stock's price drops from the previous closing price by at least the percentage you specify,", THEN turn on the selected light(s)",Light,"Optionally, a light mode or pre-defined color can be applied, as well as a level of dimming."
VMVhnrBZ,WHEN every time you say 'Alexa trigger' + the phrase that you have defined,", THEN set your honeywell thermostat to hold a temperature for a specified period of time",Thermostat/Heating,The schedule will resume when the time expires.
VRWG29Ud,WHEN you say “Ok Google” to the Google Assistant followed by a phrase you choose,", THEN set the thermostat into a hold using the settings from the specified comfort profile",Thermostat/Heating,This comfort profile hold will remain in effect until the next next comfort profile transition in the program.
