id,triggerChannelTitle,triggerTitle,triggerDesc,actionChannelTitle,actionTitle,actionDesc,deviceCategory
MRNZ84EG,Netatmo Weather Station,Temperature rises above,This Trigger fires every time the temperature rises above a value you specify.,Nest Thermostat,Set temperature range,This Action will set a Nest Thermostat in Heat-Cool mode to the temperature range you specify. NOTE: works only when Nest is set to Home.,Thermostat/Heating
MS5sbKdB,SmartHours,OGE SmartHours price changes,This trigger fires when there is a price change.,Warmup Smart Thermostat,Set temperature,This action will set your thermostat to a specified temperature.,Thermostat/Heating
MVTjd7Xs,Weather Underground,Current temperature rises above,This Trigger monitors your local temperature and fires whenever the temperature rises above the value you provide.,BDR Thermea Group,Set temperature,This action will set the temperature on the thermostat.,Thermostat/Heating
MWmxThPH,Netatmo Thermostat,Entering manual mode,This Triggers fire every time your room enters manual mode.,Netatmo Thermostat,Go back to schedule,This Action will order your home to go back to default schedule.,Thermostat/Heating
MnmCMZtg,Location,You exit an area,This Trigger fires every time you exit an area you specify.,BDR Thermea Group,Set mode,This action will set the heating mode of the thermostat.,Thermostat/Heating
MtWfarmw,Google Assistant,Say a simple phrase,"This trigger fires when you say “Ok Google” to the Google Assistant followed by a phrase you choose. For example, say “Ok Google, I’m running late” to text a family member that you’re on your way home.",Home Connect Fridge Freezer,Activate freezer Super Freezing mode,This action will temporarily cool the freezer at maximum power.,Thermostat/Heating
MuEWgZVw,Google Assistant,Say a phrase with a text ingredient,This trigger fires when you say “Ok Google” to the Google Assistant followed by a phrase like “Post a tweet saying ‘New high score.’” **Use the $ symbol to specify where you'll say the text ingredient,Nest Thermostat,Set temperature,This Action will set a Nest Thermostat to the temperature you specify. NOTE: works only when Nest is set to Home.,Thermostat/Heating
Mwm59Q3q,Weather Underground,Sunrise,This Trigger fires within 15 minutes of the sunrise in your location.,Wink: Aros,Turn A/C on,This Action will turn your Aros A/C on and set to a temperature you specify.,Thermostat/Heating
N7kpi2yv,Button widget,Button press,This trigger fires every time you press the button.,ThermoSmart,Set temperature,This Action will set your ThermoSmart to the temperature you specify.,Thermostat/Heating
NGemQvrD,Nest Thermostat,Temperature drops below,This Trigger fires every time the temperature drops below a threshold you specify.,Nest Thermostat,Set temperature,This Action will set a Nest Thermostat to the temperature you specify. NOTE: works only when Nest is set to Home.,Thermostat/Heating
NH3wWkRp,Location,You exit an area,This Trigger fires every time you exit an area you specify.,Nest Thermostat,Set temperature,This Action will set a Nest Thermostat to the temperature you specify. NOTE: works only when Nest is set to Home.,Thermostat/Heating
NJcHhYwN,Google Assistant,Say a phrase with a text ingredient,This trigger fires when you say “Ok Google” to the Google Assistant followed by a phrase like “Post a tweet saying ‘New high score.’” **Use the $ symbol to specify where you'll say the text ingredient,Nest Thermostat,Set temperature,This Action will set a Nest Thermostat to the temperature you specify. NOTE: works only when Nest is set to Home.,Thermostat/Heating
NKCic3kx,Weather Underground,Current temperature drops below,This Trigger monitors your local temperature and fires whenever the temperature drops below the value you provide.,Nest Thermostat,Set temperature,This Action will set a Nest Thermostat to the temperature you specify. NOTE: works only when Nest is set to Home.,Thermostat/Heating
NKd2nUZE,Tempest Weather System ,Temperature rises above,This Trigger fires every time the temperature at your WeatherFlow Tempest Station rises above a value that you select.,Nest Thermostat,Set temperature range,This Action will set a Nest Thermostat in Heat-Cool mode to the temperature range you specify. NOTE: works only when Nest is set to Home.,Thermostat/Heating
NLAatQWq,Google Calendar,Event from search starts,"This Trigger fires a set number of minutes before the starting time of an event on your Google Calendar that contains a specific keyword or phrase. The search looks at the event’s Title, Description, and Location.",ecobee,Set thermostat comfort profile until next transition,This Action will set the thermostat into a hold using the settings from the specified comfort profile. This comfort profile hold will remain in effect until the next next comfort profile transition in the program.,Thermostat/Heating
NN2Qke5d,HAVEN IAQ,PM2.5 threshold is crossed ,This Trigger fires whenever the measured Particulate Matter of 2.5 microns in size (PM2.5) is above or below the threshold.,Honeywell Total Connect Comfort,Set fan to on or auto,This Action will set the Honeywell thermostat fan to On where the fan is always on or Auto where the fan runs only when the heating or cooling system is on.,Thermostat/Heating
NNcVi4uB,Apilio,Receive an event from Apilio,This trigger fires every time IFTTT receives a specific event from Apilio.,Nature Remo,Turn on air conditioner,"This action will turn on your air conditioner and set target temperature, AC operation mode and air volume settings.

Note: Please use the Control Home Appliances actions for the button registered by learning mode.",Thermostat/Heating
NPcgNfEY,Awair,Carbon Dioxide (CO₂) alert,This Trigger fires if the concentration of Carbon Dioxide (CO₂) measured from your Awair device rises above the threshold you specified for more than 30 seconds.,ecobee,Set thermostat indefinite hold,This action will set the thermostat into an indefinite hold with the specified temperature.,Thermostat/Heating
NVwY3DyW,Location,You exit an area,This Trigger fires every time you exit an area you specify.,ecobee,Set thermostat comfort profile until next transition,This Action will set the thermostat into a hold using the settings from the specified comfort profile. This comfort profile hold will remain in effect until the next next comfort profile transition in the program.,Thermostat/Heating
NYAQcUpN,Nest Thermostat,Temperature rises above,This Trigger fires every time the temperature rises above a threshold you specify.,Nest Thermostat,Turn on fan for 15 minutes,This Action will turn on your HVAC system fan for the amount of time you specify in your Nest fan timer setting (default is 15 minutes). NOTE: works only if you have a fan option and Nest is set to Home.,Thermostat/Heating
NavHSVLs,Blue by ADT,A change in arm state,This trigger fires whenever the Blue By ADT system arm state changes.,Honeywell Total Connect Comfort,Set temperature to a permanent hold,This Action will set your Honeywell thermostat to permanently hold the specified temperature until you change it.,Thermostat/Heating
NchAUrtx,EDF : vos plages tarifaires,Début de plage tarifaire,Ce trigger se déclenche lorsque la plage tarifaire choisie commence dans votre logement.,Netatmo Thermostat,Switch schedule,This Action will change the schedule for the corresponding home.,Thermostat/Heating
NwWMJGLv,ecobee,Thermostat outdoor temperature is less than,This trigger fires every time your ecobee thermostat senses that the outdoor temperature is less than a specific value you supply.,ecobee,Set thermostat indefinite hold,This action will set the thermostat into an indefinite hold with the specified temperature.,Thermostat/Heating
P54er6iE,Fort Collins Utilities Time of Day Pricing,Time of Day Peak Rates START/END,This trigger fires when time-of-day peak rates start or end.,GE Appliances Window AC,Set target temperature,This Action will set a target temperature on your window ac unit.,Thermostat/Heating
P59EtSwP,Google Assistant,Say a simple phrase,"This trigger fires when you say “Ok Google” to the Google Assistant followed by a phrase you choose. For example, say “Ok Google, I’m running late” to text a family member that you’re on your way home.",Nefit Easy,Decrease room temperature,This Action will decrease the room temperature by a configurable amount.,Thermostat/Heating
P9yFuLQU,Date & Time,Every day at,This Trigger fires every single day at a specific time set by you.,GE Appliances GeoSpring™,Set temperature,This Action will set the temperature of your GE water heater.,Thermostat/Heating
PMcLkRNK,Location,You exit an area,This Trigger fires every time you exit an area you specify.,ecobee,Set thermostat comfort profile until next transition,This Action will set the thermostat into a hold using the settings from the specified comfort profile. This comfort profile hold will remain in effect until the next next comfort profile transition in the program.,Thermostat/Heating
PVits2EP,Weather Underground,Sunrise,This Trigger fires within 15 minutes of the sunrise in your location.,Nest Thermostat,Turn on fan for 15 minutes,This Action will turn on your HVAC system fan for the amount of time you specify in your Nest fan timer setting (default is 15 minutes). NOTE: works only if you have a fan option and Nest is set to Home.,Thermostat/Heating
PdDKUuZJ,EZVIZ,An alarm event occurred,This Trigger fires when an alarm event occurs.,Nest Thermostat,Set temperature,This Action will set a Nest Thermostat to the temperature you specify. NOTE: works only when Nest is set to Home.,Thermostat/Heating
PdnM5pbq,Amazon Alexa,Say a specific phrase,"This trigger fires every time you say 'Alexa trigger' + the phrase that you have defined. For instance, if you set 'party time' as the phrase, you can say 'Alexa trigger party time' to have your lights loop colors.",ecobee,Set thermostat comfort profile until next transition,This Action will set the thermostat into a hold using the settings from the specified comfort profile. This comfort profile hold will remain in effect until the next next comfort profile transition in the program.,Thermostat/Heating
Pesr63pU,Location,You enter an area,This Trigger fires every time you enter an area you specify.,Netatmo Thermostat,Go back to schedule,This Action will order your home to go back to default schedule.,Thermostat/Heating
Phtez5GD,uHoo,uHoo air quality alert,This trigger fires when your air quality goes above or below the target level.,Nest Thermostat,Set temperature,This Action will set a Nest Thermostat to the temperature you specify. NOTE: works only when Nest is set to Home.,Thermostat/Heating
PiLUrcwQ,Date & Time,Every day of the week at,This Trigger fires only on specific days of the week at the time you provide.,GE Appliances GeoSpring™,Set temperature,This Action will set the temperature of your GE water heater.,Thermostat/Heating
PkmAWbtv,Google Assistant,Say a simple phrase,"This trigger fires when you say “Ok Google” to the Google Assistant followed by a phrase you choose. For example, say “Ok Google, I’m running late” to text a family member that you’re on your way home.",tadoº Heating,Turn heating on,This Action will start your heating.,Thermostat/Heating
Pn8fxFQY,Button widget,Button press,This trigger fires every time you press the button.,AQUAREA Smart Cloud,Change Heat Mode settings,This action will change operation settings for Heat Mode in your device. ,Thermostat/Heating
PwHrgvJU,Google Assistant,Say a simple phrase,"This trigger fires when you say “Ok Google” to the Google Assistant followed by a phrase you choose. For example, say “Ok Google, I’m running late” to text a family member that you’re on your way home.",tadoº Heating,Turn heating off,This Action will turn your heating off.,Thermostat/Heating
PxAFim6c,Nest Protect,Carbon monoxide warning,This Trigger fires every time the Nest Protect you specify detects warning carbon monoxide levels.,ecobee,Set thermostat comfort profile until next transition,This Action will set the thermostat into a hold using the settings from the specified comfort profile. This comfort profile hold will remain in effect until the next next comfort profile transition in the program.,Thermostat/Heating
PzwQuNDm,Location,You exit an area,This Trigger fires every time you exit an area you specify.,ecobee,Set thermostat comfort profile until next transition,This Action will set the thermostat into a hold using the settings from the specified comfort profile. This comfort profile hold will remain in effect until the next next comfort profile transition in the program.,Thermostat/Heating
Q93Kkf2p,Location,You enter an area,This Trigger fires every time you enter an area you specify.,Nest Thermostat,Set temperature,This Action will set a Nest Thermostat to the temperature you specify. NOTE: works only when Nest is set to Home.,Thermostat/Heating
Q965u32g,Location,You enter an area,This Trigger fires every time you enter an area you specify.,ecobee,Resume thermostat program,This Action removes the currently running event on the selected thermostat providing the event is not a mandatory demand response event.,Thermostat/Heating
QEgMJKLv,Android Device,Connects to a specific WiFi network,This Trigger fires every time your Android device connects to a WiFi network you specify.,Wink: Aros,Turn A/C on,This Action will turn your Aros A/C on and set to a temperature you specify.,Thermostat/Heating
QMT9qHks,Weather Underground,Sunrise,This Trigger fires within 15 minutes of the sunrise in your location.,ThermoSmart,Set temperature,This Action will set your ThermoSmart to the temperature you specify.,Thermostat/Heating
QRCufVGW,Location,You enter an area,This Trigger fires every time you enter an area you specify.,ecobee,Set thermostat comfort profile until next transition,This Action will set the thermostat into a hold using the settings from the specified comfort profile. This comfort profile hold will remain in effect until the next next comfort profile transition in the program.,Thermostat/Heating
QSjUsXnb,Weather Underground,Current temperature drops below,This Trigger monitors your local temperature and fires whenever the temperature drops below the value you provide.,tadoº Heating,Return to tado⁠° automatic control,"This Action will return control of your heating to tado⁠°, using your user-defined settings (e.g. location and Smart Schedule) to automatically determine the right room temperature.",Thermostat/Heating
QheKFfRx,Android Device,Connects to a specific WiFi network,This Trigger fires every time your Android device connects to a WiFi network you specify.,ecobee,Resume thermostat program,This Action removes the currently running event on the selected thermostat providing the event is not a mandatory demand response event.,Thermostat/Heating
QieWrYNS,Google Assistant,Say a phrase with a text ingredient,This trigger fires when you say “Ok Google” to the Google Assistant followed by a phrase like “Post a tweet saying ‘New high score.’” **Use the $ symbol to specify where you'll say the text ingredient,Nest Thermostat,Set temperature,This Action will set a Nest Thermostat to the temperature you specify. NOTE: works only when Nest is set to Home.,Thermostat/Heating
QnJ5mr7b,domovea,Scene is launched,This Trigger fires every time a scene is launched.,tadoº Heating,Turn heating off,This Action will turn your heating off.,Thermostat/Heating
Qy6WVLFP,Location,You enter an area,This Trigger fires every time you enter an area you specify.,Nest Thermostat,Set temperature,This Action will set a Nest Thermostat to the temperature you specify. NOTE: works only when Nest is set to Home.,Thermostat/Heating
QyKsJbSt,Google Wifi,Device Connects,This Trigger fires every time a device connects to Google Wifi.,ecobee,Set thermostat indefinite hold,This action will set the thermostat into an indefinite hold with the specified temperature.,Thermostat/Heating
QyvHk3ds,Amazon Alexa,Say a specific phrase,"This trigger fires every time you say 'Alexa trigger' + the phrase that you have defined. For instance, if you set 'party time' as the phrase, you can say 'Alexa trigger party time' to have your lights loop colors.",Nature Remo,Turn on air conditioner,"This action will turn on your air conditioner and set target temperature, AC operation mode and air volume settings.

Note: Please use the Control Home Appliances actions for the button registered by learning mode.",Thermostat/Heating
R3MDLhy7,Location,You enter an area,This Trigger fires every time you enter an area you specify.,Hive Active Heating™ - UK and Europe,Boost heating ,This Action will boost heating to the temperature and duration you specify.,Thermostat/Heating
RBup5FKQ,Location,You enter an area,This Trigger fires every time you enter an area you specify.,ecobee,Resume thermostat program,This Action removes the currently running event on the selected thermostat providing the event is not a mandatory demand response event.,Thermostat/Heating
RE2nWeZm,Button widget,Button press,This trigger fires every time you press the button.,Netatmo Thermostat,Set to away mode,This Action will set your home to away mode.,Thermostat/Heating
REeGQi5F,Nuki Smart Lock,Leave home,This trigger fires every time someone locks the door with Lock 'n' Go by pressing the button on the Smart Lock twice.,Heatzy,Set heat mode,This action will set a specific device on heat mode,Thermostat/Heating
RPgDqVBy,Location,You exit an area,This Trigger fires every time you exit an area you specify.,Honeywell Total Connect Comfort,Set temperature to a permanent hold,This Action will set your Honeywell thermostat to permanently hold the specified temperature until you change it.,Thermostat/Heating
RR3ifKVy,Weather Underground,Current temperature drops below,This Trigger monitors your local temperature and fires whenever the temperature drops below the value you provide.,Honeywell Total Connect Comfort,Set temperature to a permanent hold,This Action will set your Honeywell thermostat to permanently hold the specified temperature until you change it.,Thermostat/Heating
RRdCij9N,Amazon Alexa,Say a specific phrase,"This trigger fires every time you say 'Alexa trigger' + the phrase that you have defined. For instance, if you set 'party time' as the phrase, you can say 'Alexa trigger party time' to have your lights loop colors.",ecobee,Set thermostat comfort profile until next transition,This Action will set the thermostat into a hold using the settings from the specified comfort profile. This comfort profile hold will remain in effect until the next next comfort profile transition in the program.,Thermostat/Heating
RVyfT42s,Google Calendar,Event from search starts,"This Trigger fires a set number of minutes before the starting time of an event on your Google Calendar that contains a specific keyword or phrase. The search looks at the event’s Title, Description, and Location.",ecobee,Set thermostat comfort profile until next transition,This Action will set the thermostat into a hold using the settings from the specified comfort profile. This comfort profile hold will remain in effect until the next next comfort profile transition in the program.,Thermostat/Heating
RWziRnP8,Amazon Alexa,Say a specific phrase,"This trigger fires every time you say 'Alexa trigger' + the phrase that you have defined. For instance, if you set 'party time' as the phrase, you can say 'Alexa trigger party time' to have your lights loop colors.",Nest Thermostat,Set temperature,This Action will set a Nest Thermostat to the temperature you specify. NOTE: works only when Nest is set to Home.,Thermostat/Heating
RZyqXGLP,SmartThings,Switched on,This Trigger fires every time your SmartThings device is switched on.,Nest Thermostat,Set temperature range,This Action will set a Nest Thermostat in Heat-Cool mode to the temperature range you specify. NOTE: works only when Nest is set to Home.,Thermostat/Heating
RaxWwUnX,Button widget,Button press,This trigger fires every time you press the button.,nVent Nuheat Signature Thermostat,Set temperature,This action will set the thermostat temperature,Thermostat/Heating
Rc2JFhwt,Weather Underground,Current temperature rises above,This Trigger monitors your local temperature and fires whenever the temperature rises above the value you provide.,Wink: Aros,Turn A/C on,This Action will turn your Aros A/C on and set to a temperature you specify.,Thermostat/Heating
RmuQ4M9d,Weather Underground,Current temperature rises above,This Trigger monitors your local temperature and fires whenever the temperature rises above the value you provide.,LightwaveRF Heating,Set temperature,This Action will set the temperature of a thermostat or thermostatic radiator valve (TRV).,Thermostat/Heating
RnsKdRFm,Nest Thermostat,Temperature rises above,This Trigger fires every time the temperature rises above a threshold you specify.,Nest Thermostat,Set temperature,This Action will set a Nest Thermostat to the temperature you specify. NOTE: works only when Nest is set to Home.,Thermostat/Heating
RuXpvhsA,Date & Time,Every day of the week at,This Trigger fires only on specific days of the week at the time you provide.,GE Appliances GeoSpring™,Set temperature,This Action will set the temperature of your GE water heater.,Thermostat/Heating
SE4qQNmu,Google Assistant,Say a simple phrase,"This trigger fires when you say “Ok Google” to the Google Assistant followed by a phrase you choose. For example, say “Ok Google, I’m running late” to text a family member that you’re on your way home.",ecobee,Set thermostat comfort profile until next transition,This Action will set the thermostat into a hold using the settings from the specified comfort profile. This comfort profile hold will remain in effect until the next next comfort profile transition in the program.,Thermostat/Heating
SMgp537w,Location,You exit an area,This Trigger fires every time you exit an area you specify.,Nest Thermostat,Set temperature,This Action will set a Nest Thermostat to the temperature you specify. NOTE: works only when Nest is set to Home.,Thermostat/Heating
SPMG7t5z,Location,You exit an area,This Trigger fires every time you exit an area you specify.,iDevices,Set thermostat target temperature,This action will set the target temperature of your thermostat.,Thermostat/Heating
SQGPHBMh,Date & Time,Every day at,This Trigger fires every single day at a specific time set by you.,ecobee,Resume thermostat program,This Action removes the currently running event on the selected thermostat providing the event is not a mandatory demand response event.,Thermostat/Heating
SQsh5zqM,Weather Underground,Current temperature drops below,This Trigger monitors your local temperature and fires whenever the temperature drops below the value you provide.,GE Appliances Window AC,Set target temperature,This Action will set a target temperature on your window ac unit.,Thermostat/Heating
ST3XxyqU,Location,You exit an area,This Trigger fires every time you exit an area you specify.,Honeywell Total Connect Comfort,Resume programmed schedule,This Action will set your Honeywell thermostat to resume the currently defined thermostat programmed schedule.,Thermostat/Heating
Sju74KPH,Netatmo Weather Station,Temperature drops below,This Trigger fires every time the temperature drops below a value you specify.,Netatmo Thermostat,Set to manual mode,This Action will set your thermostat to manual mode.,Thermostat/Heating
SqGRMgwu,Location,You enter an area,This Trigger fires every time you enter an area you specify.,nVent Nuheat Signature Thermostat,Set thermostat mode,This action will set the thermostat mode.,Thermostat/Heating
SrAETHpg,Android SMS,New SMS received matches search,This Trigger fires every time you receive an SMS on your Android device that matches a search you specify.,ecobee,Resume thermostat program,This Action removes the currently running event on the selected thermostat providing the event is not a mandatory demand response event.,Thermostat/Heating
SxasFQ43,Netatmo Weather Station,Temperature drops below,This Trigger fires every time the temperature drops below a value you specify.,Netatmo Thermostat,Turn thermostat off (Hidden),This Action will turn your thermostat off.,Thermostat/Heating
T9QkFh8f,Google Assistant,Say a phrase with a text ingredient,This trigger fires when you say “Ok Google” to the Google Assistant followed by a phrase like “Post a tweet saying ‘New high score.’” **Use the $ symbol to specify where you'll say the text ingredient,Nest Thermostat,Set temperature,This Action will set a Nest Thermostat to the temperature you specify. NOTE: works only when Nest is set to Home.,Thermostat/Heating
TJNQmHfe,Amazon Alexa,Say a specific phrase,"This trigger fires every time you say 'Alexa trigger' + the phrase that you have defined. For instance, if you set 'party time' as the phrase, you can say 'Alexa trigger party time' to have your lights loop colors.",Nest Thermostat,Set temperature,This Action will set a Nest Thermostat to the temperature you specify. NOTE: works only when Nest is set to Home.,Thermostat/Heating
TRqa8myv,Location,You enter an area,This Trigger fires every time you enter an area you specify.,Nature Remo,Turn on air conditioner,"This action will turn on your air conditioner and set target temperature, AC operation mode and air volume settings.

Note: Please use the Control Home Appliances actions for the button registered by learning mode.",Thermostat/Heating
TTGd6KUJ,Location,You exit an area,This Trigger fires every time you exit an area you specify.,Nest Thermostat,Turn on fan for 15 minutes,This Action will turn on your HVAC system fan for the amount of time you specify in your Nest fan timer setting (default is 15 minutes). NOTE: works only if you have a fan option and Nest is set to Home.,Thermostat/Heating
TWeB67jq,August,Lock unlocked,This Trigger fires every time the specified lock is unlocked.,ecobee,Set thermostat comfort profile until next transition,This Action will set the thermostat into a hold using the settings from the specified comfort profile. This comfort profile hold will remain in effect until the next next comfort profile transition in the program.,Thermostat/Heating
TWeRHbLY,WeMo Motion,New motion after quiet period,This Trigger fires every time your WeMo Motion sensor detects new motion after a specific period of inactivity.,Nest Thermostat,Turn on fan for 15 minutes,This Action will turn on your HVAC system fan for the amount of time you specify in your Nest fan timer setting (default is 15 minutes). NOTE: works only if you have a fan option and Nest is set to Home.,Thermostat/Heating
TbMRjtqa,Aura Air ,Sensor Measurement,This trigger will only start when a specific value of a specific sensor of your Aura Air device is reached,Sensibo,Turn A/C on,"Turn your A/C on with a set temperature, mode and fan level.",Thermostat/Heating
TjALhBKn,Android Device,Notification received from a specific app,This trigger fires every time a new notification is received on your Android device from an app that you specify. NOTE: will not fire for IFTTT app notifications.,tadoº Heating,Turn heating off,This Action will turn your heating off.,Thermostat/Heating
TvcSHGU8,OhmConnect,An #OhmHour ends,This trigger fires when an OhmHour ends.,Honeywell Total Connect Comfort,Set temperature for a period of time,This Action will set your Honeywell thermostat to hold a temperature for a specified period of time. The schedule will resume when the time expires.,Thermostat/Heating
Tw8ynkTM,SwitchBot,Motion detected or no motion detected,"When Motion Sensor detected motion or no motion, the SwitchBot motion sensor will try to trigger the service.",Heatzy,Set cool mode,This action will set a specific device on cool mode,Thermostat/Heating
Txwyn5iN,Google Calendar,Event from search starts,"This Trigger fires a set number of minutes before the starting time of an event on your Calendar that contains a specific keyword or phrase in the event’s Title, Description, or Location. Ingredient will be based on the zone set in Google.",ecobee,Create vacation on thermostat,This Action will create a vacation event on the selected thermostat with the specified setpoint. The vacation event will begin immediately and last the number of specified days.,Thermostat/Heating
U2w4DFEW,Location,You exit an area,This Trigger fires every time you exit an area you specify.,Netatmo Thermostat,Set to away mode,This Action will set your home to away mode.,Thermostat/Heating
U9ZsFe7y,Weather Underground,Current temperature rises above,This Trigger monitors your local temperature and fires whenever the temperature rises above the value you provide.,Honeywell Total Connect Comfort,Set temperature to a permanent hold,This Action will set your Honeywell thermostat to permanently hold the specified temperature until you change it.,Thermostat/Heating
UAgN28Xq,ComEd,Change in Average Price,This trigger fires for an account that is on a dynamic pricing plan such as the Residential Hourly Pricing program or other real time market rates whenever the average price changes.,ecobee,Set thermostat indefinite hold,This action will set the thermostat into an indefinite hold with the specified temperature.,Thermostat/Heating
UC3UxFpe,Date & Time,Every day at,This Trigger fires every single day at a specific time set by you.,Honeywell Total Connect Comfort,Resume programmed schedule,This Action will set your Honeywell thermostat to resume the currently defined thermostat programmed schedule.,Thermostat/Heating
UEheLuKP,Button widget,Button press,This trigger fires every time you press the button.,Hive Active Heating™ - UK and Europe,Boost hot water,This Action will boost your hot water for 1 hour.,Thermostat/Heating
UNwhHYaA,Android Device,Disconnects from a specific WiFi network,This Trigger fires every time your Android device disconnects from a WiFi network you specify.,ecobee,Set thermostat comfort profile until next transition,This Action will set the thermostat into a hold using the settings from the specified comfort profile. This comfort profile hold will remain in effect until the next next comfort profile transition in the program.,Thermostat/Heating
UPZd2hFU,Amazon Alexa,Say a specific phrase,"This trigger fires every time you say 'Alexa trigger' + the phrase that you have defined. For instance, if you set 'party time' as the phrase, you can say 'Alexa trigger party time' to have your lights loop colors.",Nest Thermostat,Turn on fan for 15 minutes,This Action will turn on your HVAC system fan for the amount of time you specify in your Nest fan timer setting (default is 15 minutes). NOTE: works only if you have a fan option and Nest is set to Home.,Thermostat/Heating
UQBVi5Df,Wink: Spotter,Temperature rises above,This Trigger fires every time the temperature measured by your Spotter rises above the value you specify.,Nest Thermostat,Turn on fan for 15 minutes,This Action will turn on your HVAC system fan for the amount of time you specify in your Nest fan timer setting (default is 15 minutes). NOTE: works only if you have a fan option and Nest is set to Home.,Thermostat/Heating
URznpkXm,OhmConnect,An #OhmHour starts,This trigger fires when an OhmHour starts,Honeywell Total Connect Comfort,Set temperature for a period of time,This Action will set your Honeywell thermostat to hold a temperature for a specified period of time. The schedule will resume when the time expires.,Thermostat/Heating
USW63Lkm,Foobot,Pollution is high,This Trigger fires when global air pollution is higher than 50.,ecobee,Set thermostat comfort profile for X hours,This Action will set the thermostat into a hold using the settings from the specified comfort profile. This comfort profile hold will remain in effect for the specified number of hours.,Thermostat/Heating
UXnsbvgj,Nest Thermostat,Nest set to Home,This Trigger fires every time the home you specify is set to Home.,Nest Thermostat,Set temperature,This Action will set a Nest Thermostat to the temperature you specify. NOTE: works only when Nest is set to Home.,Thermostat/Heating
UYAedJMN,Android Device,Disconnects from a specific WiFi network,This Trigger fires every time your Android device disconnects from a WiFi network you specify.,ecobee,Set thermostat comfort profile until next transition,This Action will set the thermostat into a hold using the settings from the specified comfort profile. This comfort profile hold will remain in effect until the next next comfort profile transition in the program.,Thermostat/Heating
UYLQR4aB,Button widget,Button press,This trigger fires every time you press the button.,Netatmo Thermostat,Set to away mode,This Action will set your home to away mode.,Thermostat/Heating
UYkVTJf4,Location,You enter an area,This Trigger fires every time you enter an area you specify.,ecobee,Set thermostat comfort profile until next transition,This Action will set the thermostat into a hold using the settings from the specified comfort profile. This comfort profile hold will remain in effect until the next next comfort profile transition in the program.,Thermostat/Heating
UYp4wMgu,Ballotpedia,Breaking News,This trigger fires when Ballotpedia covers new Breaking News. ,Home Connect Fridge Freezer,Set freezer temperature,This action will set the freezer temperature.,Thermostat/Heating
UdygtUkb,Location,You exit an area,This Trigger fires every time you exit an area you specify.,ecobee,Set thermostat comfort profile until next transition,This Action will set the thermostat into a hold using the settings from the specified comfort profile. This comfort profile hold will remain in effect until the next next comfort profile transition in the program.,Thermostat/Heating
UfvV8GnX,Weather Underground,Current temperature drops below,This Trigger monitors your local temperature and fires whenever the temperature drops below the value you provide.,GE Appliances Window AC,Set target temperature,This Action will set a target temperature on your window ac unit.,Thermostat/Heating
Ug724ufD,True Energy Smart Home Denmark,Electricity in Denmark is Expensive,This trigger fires at the hours where electricity in Denmark is expensive.,Home Connect Fridge Freezer,Set refrigerator temperature,This action will set the refrigerator temperature.,Thermostat/Heating
UitCnqP6,Nest Protect,Smoke alarm warning,This Trigger fires every time the Nest Protect you specify detects warning smoke levels.,Nest Thermostat,Turn on fan for 15 minutes,This Action will turn on your HVAC system fan for the amount of time you specify in your Nest fan timer setting (default is 15 minutes). NOTE: works only if you have a fan option and Nest is set to Home.,Thermostat/Heating
UkRz7TS6,Amazon Alexa,Item added to your To Do List,This Trigger fires every time you add an item to your To Do List.,Nest Thermostat,Set temperature,This Action will set a Nest Thermostat to the temperature you specify. NOTE: works only when Nest is set to Home.,Thermostat/Heating
UrfNgZCL,Date & Time,Every day of the week at,This Trigger fires only on specific days of the week at the time you provide.,GE Appliances GeoSpring™,Set temperature,This Action will set the temperature of your GE water heater.,Thermostat/Heating
UuS4GC3w,Date & Time,Every hour at,"This Trigger fires once an hour at :00, :15, :30, or :45 minutes past the hour.",Hive Active Heating™ - UK and Europe,Set the thermostat to schedule,This Action will set the heating mode to schedule.,Thermostat/Heating
Uv4MX57h,Strava,New activity by you,This Trigger fires every time you complete a new activity on Strava.,Hive Active Heating™ - UK and Europe,Boost hot water,This Action will boost your hot water for 1 hour.,Thermostat/Heating
UwCXy7LV,Smart Life,Door sensor is open,This trigger fires when the door sensor is open.,tadoº Heating,Turn heating off,This Action will turn your heating off.,Thermostat/Heating
V38tDM7K,Amazon Alexa,Say a specific phrase,"This trigger fires every time you say 'Alexa trigger' + the phrase that you have defined. For instance, if you set 'party time' as the phrase, you can say 'Alexa trigger party time' to have your lights loop colors.",ecobee,Set thermostat hold until next transition,This action will set the thermostat into a hold with the specified temperature and the end date/time will be set to the next climate transition in the program.,Thermostat/Heating
V3APqy75,Amazon Alexa,Say a specific phrase,"This trigger fires every time you say 'Alexa trigger' + the phrase that you have defined. For instance, if you set 'party time' as the phrase, you can say 'Alexa trigger party time' to have your lights loop colors.",Honeywell Total Connect Comfort,Set temperature for a period of time,This Action will set your Honeywell thermostat to hold a temperature for a specified period of time. The schedule will resume when the time expires.,Thermostat/Heating
V3AthjVX,Nest Thermostat,Temperature rises above,This Trigger fires every time the temperature rises above a threshold you specify.,Nest Thermostat,Set temperature,This Action will set a Nest Thermostat to the temperature you specify. NOTE: works only when Nest is set to Home.,Thermostat/Heating
V4mBR7iA,Amazon Alexa,Item added to your To Do List,This Trigger fires every time you add an item to your To Do List.,Nest Thermostat,Set temperature,This Action will set a Nest Thermostat to the temperature you specify. NOTE: works only when Nest is set to Home.,Thermostat/Heating
